Name,IMDB Rating,Year,Age,Genres
Hand of God,n/a,2017,18+,Drama
The Kicks,7.6,2016,All Ages,"Teen: Comedy, Sport: Football, Teen: Drama"
The Vampire Diaries,7.8,2016,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
The Man In the High Castle,8.1,2016,18+,"Drama: Thriller, Drama: Political, Drama: War, Drama: Mystery, Thriller: Sci-Fi/Fantasy, Thriller: Mystery, Thriller: Drama"
The Mentalist,8.1,2012,16+,"Drama: Crime, Drama: Mystery"
Elementary,7.9,2013,16+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery"
2 Broke Girls,6.8,2013,16+,Comedy
The Vampire Diaries,7.8,2014,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
The Mentalist,8.1,2012,16+,"Drama: Crime, Drama: Mystery"
Two and a Half Men,7.1,2006,16+,Comedy
SHAMELESS,8.7,2016,18+,"Comedy: Drama, Drama: Mature"
Shin chan,7.8,1992,16+,"Animated: Children, Animated: Comedy"
Training Day,5.6,2017,NR,"Drama: Crime, Action/Adventure: Crime"
Mr. Robot,8.7,2016,16+,Drama
2 Broke Girls,6.8,2014,16+,Comedy
The Vampire Diaries,7.8,2015,16+,"Thriller: Sci-Fi/Fantasy, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Horror: Werewolves, Romance: Drama"
Blindspot,7.6,2016,16+,"Drama: Thriller, Drama, Drama: Mystery, Drama: Crime"
Blindspot,7.6,2017,16+,"Drama: Thriller, Drama, Drama: Mystery, Drama: Crime"
Dexter,8.8,2006,18+,"Drama: Mystery, Drama: Crime, Drama"
Two and a Half Men,7.1,2014,16+,Comedy
Hand of God,7.5,2015,18+,Drama
Two and a Half Men,7.1,2008,16+,Comedy
2 Broke Girls,6.8,2015,16+,Comedy
Seinfeld,8.9,1991,13+,Comedy
Two and a Half Men,7.1,2015,16+,Comedy
Two and a Half Men,7.1,2011,16+,Comedy
Person of Interest,8.5,2015,16+,"Action/Adventure: Crime, Drama: Thriller, Drama: Crime, Thriller: Crime, Drama: Mystery"
Mozart in the Jungle,8.2,2014,18+,"Comedy: Drama, Drama: Comedy, Comedy: Mature"
The Middle,7.5,2010,7+,Comedy: Family
Person of Interest,8.5,2013,16+,"Action/Adventure: Crime, Drama: Thriller, Drama: Crime, Thriller: Crime, Drama: Mystery"
Best of AIB,8.4,2014,NR,"Bollywood: Comedy, Comedy: Spoof, World Cinema: Indian"
You Are Wanted,n/a,2017,NR,Drama
The Royals,7.4,2015,16+,Drama
Two and a Half Men,7.1,2012,16+,Comedy
MOM TV/DEV,7.1,2017,16+,"Comedy: Drama, Comedy: Romance"
The Royals,7.4,2017,NR,Drama
Two and a Half Men,7.1,2011,16+,Comedy
Bosch,8.3,2015,18+,Drama
RIZZOLI & ISLES,7.6,2010,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Seinfeld,8.9,1992,13+,Comedy
Startup,8.1,2016,NR,"Drama: Crime, Thriller"
Two and a Half Men,7.1,2007,16+,Comedy
Seinfeld,8.9,1993,13+,Comedy
Smallville,7.5,2002,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
Person of Interest,8.5,2014,16+,"Action/Adventure: Crime, Drama: Thriller, Drama: Crime, Thriller: Crime, Drama: Mystery"
Flesh and Bone,8,2015,18+,"Music/Musical: Ballet/Dance, LGBTQ: Drama, Drama: Plays/Performance, Drama"
The Originals,8.3,2016,16+,"Thriller: Sci-Fi/Fantasy, Horror: Werewolves, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Romance: Drama"
Two and a Half Men,7.1,2012,16+,Comedy
NCIS,7.9,2004,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
MOM TV/DEV,7.1,2014,16+,"Comedy: Drama, Comedy: Romance"
Supernatural,8.6,2007,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
"LAST SHIP, THE",7.5,2014,16+,"Thriller: Action/Adventure, Action/Adventure: Thriller, Action/Adventure: War, Thriller: Political, Drama: Thriller"
SHAMELESS,8.7,2012,18+,"Comedy: Drama, Drama: Mature"
SHAMELESS,8.7,2013,18+,"Comedy: Drama, Drama: Mature"
Trial & Error,n/a,2017,NR,Comedy
Person of Interest,8.5,2016,16+,"Action/Adventure: Crime, Drama: Thriller, Drama: Crime, Thriller: Crime, Drama: Mystery"
Good Girls Revolt,8.1,2016,NR,Drama
The Good Wife,8.3,2011,16+,"Drama, Drama: Romance, Drama: Crime"
The Originals,8.3,2015,16+,"Thriller: Sci-Fi/Fantasy, Horror: Werewolves, Horror: Vampires, Thriller: Romance, Drama: Mystery, Drama: Thriller, Romance: Drama"
NCIS,7.9,2017,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Anger Management,6.7,2012,13+,Comedy
Californication,8.3,2007,18+,"Comedy, Comedy: Drama, Comedy: Mature"
Fullmetal Alchemist,8.7,2004,7+,Anime
Seinfeld,8.9,1994,13+,Comedy
Supernatural,8.6,2009,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
SHAMELESS,8.7,2014,18+,"Comedy: Drama, Drama: Mature"
Elementary,7.9,2014,16+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery"
SHAMELESS,8.7,2016,18+,"Comedy: Drama, Drama: Mature"
Fear the Walking Dead,7.1,2015,16+,"Drama: Thriller, Horror: Zombies, Horror: Thriller"
Supernatural,8.6,2010,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Supernatural,8.6,2011,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
SHAMELESS,8.7,2015,18+,"Comedy: Drama, Drama: Mature"
Into the Badlands,8.1,2015,16+,"Drama, Action/Adventure: Martial Arts, Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure"
Supernatural,8.6,2008,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Eat the World with Emeril Lagasse,8.4,2016,18+,"Documentary: Travel/Places of Interest, Special Interest: Food/Drink"
The Storytellers in the Living Room,,2017,NR,"Drama: Plays/Performance, World Cinema: Indian"
Seinfeld,8.9,1995,13+,Comedy
The Good Wife,8.3,2012,16+,"Drama, Drama: Romance, Drama: Crime"
Supernatural,8.6,2016,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Preacher,8.1,2016,18+,"Action/Adventure: Sci-fi/Fantasy, Drama: Mystery, Sci-Fi/Fantasy: Action/Adventure, Thriller: Supernatural, Thriller: Mystery, Drama: Thriller"
Seinfeld,8.9,1996,13+,Comedy
Beauty and the Beast,7.2,2014,16+,"Drama: Crime, Drama: Mystery, Drama: Romance, Sci-Fi/Fantasy"
Dexter,8.8,2007,18+,"Drama: Mystery, Drama: Crime, Drama"
Bosch,8.3,2016,18+,Drama
Transparent,8,2014,18+,"Comedy, Drama"
House of Lies,7.4,2012,18+,"Drama: Comedy, Comedy: Drama"
RIZZOLI & ISLES,7.6,2011,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Dexter,8.8,2013,18+,"Drama: Mystery, Drama: Crime, Drama"
The Middle,7.5,2011,7+,Comedy: Family
The Royals,7.4,2016,16+,Drama
Elementary,7.9,2015,16+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery"
Fear the Walking Dead,7.1,2016,18+,Drama: Thriller
Supernatural,8.6,2012,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Fringe,8.5,2010,16+,"Drama: Crime, Drama: Mystery, Sci-Fi/Fantasy, Drama"
Supernatural,8.6,2015,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Dexter,8.8,2008,18+,"Drama: Mystery, Drama: Crime, Drama"
"LAST SHIP, THE",7.5,2014,16+,"Thriller: Action/Adventure, Action/Adventure: Thriller, Action/Adventure: War, Thriller: Political, Drama: Thriller"
Doraemon,n/a,1981,7+,"Animated: Children, Animated: Comedy"
Crisis in Six Scenes,6.7,2016,18+,Comedy
"LAST SHIP, THE",7.5,2016,16+,"Thriller: Action/Adventure, Action/Adventure: Thriller, Action/Adventure: War, Thriller: Political, Drama: Thriller"
Seinfeld,8.9,1998,13+,Comedy
Elementary,7.9,2016,16+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery"
Supernatural,8.6,2013,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Seinfeld,8.9,1997,13+,Comedy
Blue Bloods,7.5,2017,16+,Drama: Crime
The Middle,7.5,2012,7+,Comedy: Family
Time After Time,n/a,2017,NR,Sci-Fi/Fantasy: Action/Adventure
Red Oaks,7.9,2015,18+,Comedy
Supernatural,8.6,2014,16+,"Thriller: Sci-Fi/Fantasy, Thriller: Drama, Thriller: Horror, Thriller: Supernatural, Drama: Thriller, Thriller: Mystery"
Mike & Molly,6.4,2011,16+,Comedy
Mozart in the Jungle,8.2,2015,18+,"Drama, Comedy"
RIZZOLI & ISLES,7.6,2012,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Shin chan,n/a,1992,NR,"Animated: Children, Animated: Comedy"
The Middle,7.5,2014,7+,Comedy: Family
Major Crimes,7.6,2012,16+,"Drama: Mystery, Drama: Crime, Drama"
Mad Men,8.6,2008,16+,"Drama: Historical, Drama"
Dexter,8.8,2009,18+,"Drama: Mystery, Drama: Crime, Drama"
The Middle,7.5,2012,7+,Comedy: Family
The Middle,7.5,2016,7+,Comedy: Family
The Good Wife,8.3,2013,16+,"Drama, Drama: Romance, Drama: Crime"
RIZZOLI & ISLES,7.6,2014,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Dexter,8.8,2010,18+,"Drama: Mystery, Drama: Crime, Drama"
Dexter,8.8,2011,18+,"Drama: Mystery, Drama: Crime, Drama"
The Middle,7.5,2015,7+,Comedy: Family
Dexter,8.8,2012,18+,"Drama: Mystery, Drama: Crime, Drama"
Mozart in the Jungle,8.2,2016,18+,"Drama, Comedy"
Museum Secrets,8.5,2011,NR,Documentary: History
Smallville,7.5,2003,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
RIZZOLI & ISLES,7.6,2015,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Blue Bloods,7.5,2011,16+,Drama: Crime
Anger Management,6.7,2013,13+,Comedy
MOM TV/DEV,7.1,2015,16+,"Comedy: Drama, Comedy: Romance"
Beauty and the Beast,7.2,2015,16+,"Drama: Crime, Drama: Mystery, Drama: Romance, Sci-Fi/Fantasy"
The Good Wife,8.3,2016,16+,"Drama, Drama: Romance, Drama: Crime"
Black Butler,7.8,2009,16+,Anime
The Good Wife,8.3,2014,16+,"Drama, Drama: Romance, Drama: Crime"
Bang Baaja Baaraat,8.2,2015,18+,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Fringe,8.5,2011,16+,"Drama: Crime, Drama: Mystery, Sci-Fi/Fantasy, Drama"
MOM TV/DEV,7.1,2016,16+,"Comedy: Drama, Comedy: Romance"
Censorship In The Future,,2015,NR,"Comedy: Spoof, World Cinema: Indian"
The Good Wife,8.3,2015,16+,"Drama, Drama: Romance, Drama: Crime"
Beauty and the Beast,7.2,2016,16+,"Drama: Crime, Drama: Mystery, Drama: Romance, Sci-Fi/Fantasy"
RIZZOLI & ISLES,7.6,2016,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Taarak Mehta Ka Ooltah Chashmah,8.2,2016,NR,"Comedy: Drama, Bollywood: Comedy, Bollywood: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Kanan Gill: How Insensitive,,2016,NR,"Comedy: Stand-up, World Cinema: Indian"
Mad Men,8.6,2009,16+,"Drama: Historical, Drama"
Smallville,7.5,2004,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
Hiroshima,7.9,2005,NR,Documentary: History
NCIS,7.9,2005,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Smallville,7.5,2005,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
Fringe,8.5,2012,16+,"Drama: Crime, Drama: Mystery, Sci-Fi/Fantasy, Drama"
RIZZOLI & ISLES,7.6,2016,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Silent War: The Battles Beneath the Sea,7.2,2013,NR,"Documentary: History, Documentary: Military"
Red Oaks,7.9,2016,18+,Comedy
Californication,8.3,2008,18+,"Comedy, Comedy: Drama, Comedy: Mature"
Son of Abish,,2016,NR,"Comedy: Stand-up, World Cinema: Indian"
Californication,8.3,2009,18+,"Comedy, Comedy: Drama, Comedy: Mature"
Anger Management,6.7,2013,13+,Comedy
Smallville,7.5,2011,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
House of Lies,7.4,2013,18+,"Drama: Comedy, Comedy: Drama"
Anger Management,6.7,2014,13+,Comedy
Mad Men,8.6,2010,16+,"Drama: Historical, Drama"
Major Crimes,7.6,2017,16+,"Drama: Mystery, Drama: Crime, Drama"
Smallville,7.5,2006,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
NCIS,7.9,2006,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Anger Management,6.7,2014,13+,Comedy
Murder in the First,7.3,2014,NR,"Drama: Crime, Drama: Mystery, Drama: Thriller"
Smallville,7.5,2010,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
Smallville,7.5,2007,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
House of Lies,7.4,2014,18+,"Drama: Comedy, Comedy: Drama"
NCIS,7.9,2007,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Extant,6.6,2014,16+,"Drama: Mystery, Drama: Thriller, Thriller: Drama, Thriller: Mystery, Sci-Fi/Fantasy: Thriller"
V,6.8,2010,16+,"Drama: Thriller, Sci-Fi/Fantasy: Sci-fi – Alien, Sci-Fi/Fantasy: Thriller"
Mad Men,8.6,2015,16+,"Drama: Historical, Drama"
CID,6.6,1998,16+,"Drama: Crime, World Cinema: Indian"
SNG: What If,,2016,NR,"Bollywood: Comedy, Comedy: Stand-up, World Cinema: Indian, Comedy: Spoof"
Blue Exorcist,7.3,2012,16+,Anime
Smallville,7.5,2008,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
NCIS,7.9,2009,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
The Path,7.5,2016,18+,Drama: Thriller
Major Crimes,7.6,2014,16+,"Drama: Mystery, Drama: Crime, Drama"
Mad Men,8.6,2012,16+,"Drama: Historical, Drama"
Yogasutra,,2011,NR,"Special Interest: Exercise/Fitness, Special Interest: Body Care/Diet, World Cinema: Indian"
NCIS,7.9,2008,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Smallville,7.5,2009,7+,"Action/Adventure: Superheroes, Teen: Drama, Teen: Romance, Drama: Romance, Teen: Sci-Fi/Fantasy"
House of Lies,7.4,2015,18+,"Drama: Comedy, Comedy: Drama"
Fringe,8.5,2013,16+,"Drama: Crime, Drama: Mystery, Sci-Fi/Fantasy, Drama"
Mike & Molly,6.4,2012,16+,Comedy
NCIS,7.9,2010,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Mad Men,8.6,2013,16+,"Drama: Historical, Drama"
Californication,8.3,2011,18+,"Comedy, Comedy: Drama, Comedy: Mature"
House of Lies,7.4,2016,18+,"Drama: Comedy, Comedy: Drama"
Blue Bloods,7.5,2012,16+,Drama: Crime
Ushio & Tora,7.9,2016,16+,Anime
Californication,8.3,2014,18+,"Comedy, Comedy: Drama, Comedy: Mature"
Californication,8.3,2012,18+,"Comedy, Comedy: Drama, Comedy: Mature"
NCIS,7.9,2011,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Major Crimes,7.6,2014,16+,"Drama: Mystery, Drama: Crime, Drama"
The Elephant Princess,6.6,2009,NR,"Teen: Drama, Teen: Sci-Fi/Fantasy, Teen: Romance"
Angie Tribeca,6.9,2016,16+,"Comedy: Mystery, Comedy: Crime"
One Mississippi,7.1,2016,18+,Drama: Comedy
Mike & Molly,6.4,2013,16+,Comedy
Major Crimes,7.6,2016,16+,"Drama: Mystery, Drama: Crime, Drama"
Crime Patrol Dial 100,8.8,2015,NR,"Drama: Crime, Bollywood: Drama, Drama: Bollywood, Reality TV, World Cinema: Indian"
Man’s World,7.4,2015,13+,"Comedy, World Cinema: Indian"
Hawaii Five-0,7.4,2017,16+,Drama
Blue Bloods,7.5,2016,16+,Drama: Crime
Ancient Worlds,7.4,2010,NR,Documentary: History
The Path,7.5,2017,NR,Drama
Californication,8.3,2013,18+,"Comedy, Comedy: Drama, Comedy: Mature"
Transparent,8,2015,18+,Comedy
Love Shots,8.1,2016,NR,"Bollywood: Romance, World Cinema: Indian"
NCIS,7.9,2012,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Blue Bloods,7.5,2013,16+,Drama: Crime
NCIS,7.9,2016,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Great Escape: The Reckoning,7.5,2009,NR,"Documentary: History, Drama: Crime"
Mike & Molly,6.4,2014,16+,Comedy
Charlotte,7.7,2015,7+,Anime
Murder in the First,7.3,2015,NR,"Drama: Crime, Drama: Mystery, Drama: Thriller"
Mike & Molly,6.4,2016,16+,Comedy
The World’s Weirdest Weapons,8.6,2012,NR,"Documentary: History, Documentary: Military"
Mike & Molly,6.4,2015,16+,Comedy
Blue Bloods,7.5,2015,16+,Drama: Crime
NCIS,7.9,2015,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
Brothers Conflict,6.5,2013,16+,Anime
NCIS,7.9,2013,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
NCIS,7.9,2014,16+,"Action/Adventure: Crime, Drama: Crime, Drama: Mystery"
People of Earth,7.7,2016,NR,"Comedy: Sci-Fi/Fantasy, Comedy: Mystery"
